time        CPU øC  GPU øC  CPU RPM  GPU RPM
22:32:14        47      48     3611     3307
22:32:15        47      48     3605     3291
22:32:16        47      48     3581     3302
22:32:17        47      48     3593     3302
22:32:18        47      48     3611     3297
22:32:19        47      48     3623     3302
22:32:20        47      48     3581     3307
22:32:21        47      48     3605     3297
22:32:22        47      48     3599     3281
22:32:23        47      48     3599     3307
22:32:24        47      48     3599     3291
22:32:25        47      48     3593     3317
22:32:26        47      48     3593     3297
22:32:27        47      48     3605     3297
22:32:28        47      48     3605     3291
22:32:29        47      48     3581     3307
22:32:30        47      48     3593     3307
22:32:31        47      48     3605     3281
22:32:32        47      48     3581     3291
22:32:33        47      48     3611     3297
22:32:34        47      48     3605     3297
22:32:35        47      48     3593     3307
22:32:36        47      48     3593     3291
22:32:37        47      48     3623     3302
22:32:38        47      48     3623     3297
22:32:39        47      48     3593     3297
22:32:40        47      48     3593     3312
22:32:41        47      48     3605     3307
22:32:42        47      48     3581     3307
22:32:43        47      48     3552     3307
22:32:44        47      48     3593     3297
22:32:45        47      48     3605     3307
22:32:46        47      48     3581     3297
22:32:47        47      48     3605     3281
22:32:48        47      48     3611     3307
22:32:49        47      48     3599     3317
22:32:50        47      48     3593     3317
22:32:51        47      48     3593     3286
22:32:52        47      48     3611     3302
22:32:53        47      48     3593     3307
22:32:54        47      48     3593     3291
22:32:55        46      48     3623     3281
22:32:56        46      48     3605     3272
22:32:57        46      48     3611     3291
22:32:58        46      48     3617     3327
22:32:59        46      48     3599     3297
22:33:00        46      48     3593     3327
22:33:01        46      48     3587     3307
22:33:02        46      48     3593     3297
22:33:03        46      48     3605     3281
22:33:04        46      48     3617     3297
22:33:05        46      48     3605     3307
22:33:06        46      48     3617     3281
22:33:07        46      48     3617     3302
22:33:08        46      48     3587     3297
22:33:09        46      48     3575     3291
22:33:10        46      48     3605     3297
22:33:11        46      48     3623     3291
22:33:12        46      48     3611     3307
22:33:13        46      48     3581     3291
22:33:15        46      48     3605     3291
22:33:16        46      48     3623     3307
22:33:17        46      48     3593     3302
22:33:18        46      48     3581     3317
22:33:19        46      48     3587     3307
22:33:20        46      48     3605     3317
22:33:21        46      48     3605     3281
22:33:22        46      48     3587     3307
22:33:23        46      48     3593     3297
22:33:24        46      48     3593     3317
22:33:25        46      48     3593     3317
22:33:26        46      48     3605     3291
22:33:27        46      48     3605     3317
22:33:28        46      48     3617     3281
22:33:29        46      48     3611     3291
22:33:30        46      48     3611     3307
22:33:31        46      48     3593     3297
22:33:32        46      48     3593     3267
22:33:33        46      48     3617     3307
22:33:34        46      48     3593     3281
22:33:35        46      48     3617     3291
22:33:36        46      48     3605     3291
22:33:37        46      48     3593     3317
22:33:38        46      48     3605     3317
22:33:39        46      48     3605     3291
22:33:40        46      48     3593     3297
22:33:41        46      48     3605     3297
22:33:42        46      48     3593     3302
22:33:43        46      48     3593     3286
22:33:44        46      48     3605     3291
22:33:45        46      48     3617     3332
22:33:46        46      48     3593     3281
22:33:47        46      48     3611     3281
22:33:48        46      48     3593     3291
22:33:49        46      48     3611     3291
22:33:50        46      48     3599     3291
22:33:51        46      48     3611     3317
22:33:52        46      48     3575     3297
22:33:53        46      48     3611     3297
22:33:54        46      48     3593     3307
22:33:55        46      48     3581     3281
22:33:56        46      48     3593     3307
22:33:57        46      48     3581     3291
22:33:58        46      48     3605     3281
22:33:59        46      48     3593     3281
22:34:00        45      48     3605     3317
22:34:01        45      48     3593     3307
22:34:02        45      48     3581     3291
22:34:03        45      48     3593     3307
22:34:04        45      48     3605     3281
22:34:05        45      48     3593     3291
22:34:06        45      48     3605     3317
22:34:07        45      48     3593     3291
22:34:08        45      48     3605     3281
22:34:09        45      48     3605     3307
22:34:10        45      48     3611     3291
22:34:11        45      48     3599     3317
22:34:12        45      48     3605     3302
22:34:13        45      48     3611     3291
22:34:14        45      48     3611     3307
22:34:15        45      48     3605     3302
22:34:16        45      48     3605     3302
22:34:17        45      48     3605     3317
